id;key;value;type
1;Car Industrial deliverables;orange Books;magenta monitor 1080p
2;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium
3;New York tangible Mississippi;Frozen bus;hard drive Robust Networked
4;Poland;Small partnerships;Outdoors
5;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account
6;Salad Web virtual;Refined Squares;maroon
7;EXE projection Fresh;support Gorgeous;withdrawal
8;copying;ability Hat Iraq;magenta Concrete
9;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive
10;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor
